Fecha,Reserva
2012-01-01,149.1
2012-01-02,149.1
2012-01-03,149.06
2012-01-04,149.03
2012-01-05,149.03
2012-01-06,149.0
2012-01-07,146.91
2012-01-08,147.34
2012-01-09,147.77
2012-01-10,147.51
2012-01-11,147.25
2012-01-12,147.2
2012-01-13,147.16
2012-01-14,147.1
2012-01-15,147.03
2012-01-16,146.99
2012-01-17,146.94
2012-01-18,146.9
2012-01-19,146.87
2012-01-20,146.82
2012-01-21,146.76
2012-01-22,146.76
2012-01-23,146.7
2012-01-24,146.64
2012-01-25,146.59
2012-01-26,146.54
2012-01-27,146.6
2012-01-28,146.65
2012-01-29,146.47
2012-01-30,146.5
2012-01-31,146.5
2012-02-01,146.54
2012-02-02,146.49
2012-02-03,146.44
2012-02-04,146.35
2012-02-05,146.44
2012-02-06,146.21
2012-02-07,145.98
2012-02-08,145.85
2012-02-09,145.85
2012-02-10,145.72
2012-02-11,145.72
2012-02-12,145.72
2012-02-13,145.43
2012-02-14,145.34
2012-02-15,145.26
2012-02-16,145.15
2012-02-17,145.15
2012-02-18,145.15
2012-02-19,145.15
2012-02-20,145.0
2012-02-21,144.92
2012-02-22,144.92
2012-02-23,144.83
2012-02-24,144.77
2012-02-25,144.71
2012-02-26,144.76
2012-02-27,144.55
2012-02-28,144.5
2012-02-29,144.5
2012-03-01,144.44
2012-03-02,144.32
2012-03-03,144.3
2012-03-04,144.27
2012-03-05,144.17
2012-03-06,144.17
2012-03-07,144.06
2012-03-08,144.03
2012-03-09,143.89
2012-03-10,143.89
2012-03-11,143.89
2012-03-12,143.76
2012-03-13,143.63
2012-03-14,143.57
2012-03-15,143.51
2012-03-16,143.43
2012-03-17,143.34
2012-03-18,143.23
2012-03-19,143.12
2012-03-20,143.18
2012-03-21,143.12
2012-03-22,143.07
2012-03-23,143.05
2012-03-24,143.05
2012-03-25,143.03
2012-03-26,142.9
2012-03-27,142.84
2012-03-28,142.78
2012-03-29,142.7
2012-03-30,142.63
2012-03-31,142.58
2012-04-01,142.44
2012-04-02,142.44
2012-04-03,142.3
2012-04-04,142.3
2012-04-05,142.3
2012-04-06,142.3
2012-04-07,142.3
2012-04-08,142.09
2012-04-09,141.98
2012-04-10,141.87
2012-04-11,141.74
2012-04-12,141.6
2012-04-13,141.51
2012-04-14,141.43
2012-04-15,141.54
2012-04-16,141.35
2012-04-17,141.17
2012-04-18,141.05
2012-04-19,140.93
2012-04-20,140.91
2012-04-21,140.89
2012-04-22,140.93
2012-04-23,140.67
2012-04-24,140.41
2012-04-25,140.24
2012-04-26,140.24
2012-04-27,140.08
2012-04-28,140.2
2012-04-29,140.32
2012-04-30,140.04
2012-05-01,140.04
2012-05-02,140.04
2012-05-03,140.01
2012-05-04,139.99
2012-05-05,139.99
2012-05-06,139.99
2012-05-07,139.93
2012-05-08,139.87
2012-05-09,139.9
2012-05-10,139.93
2012-05-11,139.88
2012-05-12,139.82
2012-05-13,139.71
2012-05-14,139.56
2012-05-15,139.44
2012-05-16,139.33
2012-05-17,139.18
2012-05-18,139.18
2012-05-19,139.02
2012-05-20,138.97
2012-05-21,138.83
2012-05-22,138.7
2012-05-23,138.59
2012-05-24,138.48
2012-05-25,138.38
2012-05-26,138.27
2012-05-27,138.16
2012-05-28,137.94
2012-05-29,137.94
2012-05-30,137.73
2012-05-31,137.64
2012-06-01,137.45
2012-06-02,137.45
2012-06-03,137.26
2012-06-04,137.1
2012-06-05,136.9
2012-06-06,136.78
2012-06-07,136.67
2012-06-08,136.5
2012-06-09,136.32
2012-06-10,136.16
2012-06-11,135.99
2012-06-12,135.8
2012-06-13,135.62
