Fecha,Reserva
01/01/2020,49.14
02/01/2020,49.14
03/01/2020,49.11
05/01/2020,48.99
08/01/2020,48.85
10/01/2020,48.83
12/01/2020,48.71
13/01/2020,48.69
14/01/2020,48.61
16/01/2020,48.55
19/01/2020,48.41
21/01/2020,48.27
23/01/2020,48.71
24/01/2020,49.64
26/01/2020,54.01
27/01/2020,54.45
29/01/2020,54.83
31/01/2020,54.95
02/02/2020,55.08
04/02/2020,55.07
06/02/2020,55.06
08/02/2020,55.0
09/02/2020,54.98
11/02/2020,55.06
13/02/2020,55.06
15/02/2020,55.03
16/02/2020,54.99
18/02/2020,54.94
20/02/2020,54.89
23/02/2020,54.92
24/02/2020,54.89
26/02/2020,54.86
27/02/2020,54.83
29/02/2020,54.67
02/03/2020,54.65
04/03/2020,54.48
06/03/2020,54.41
08/03/2020,54.28
10/03/2020,54.15
11/03/2020,54.15
14/03/2020,53.92
16/03/2020,53.85
17/03/2020,53.84
19/03/2020,54.04
20/03/2020,53.89
23/03/2020,54.15
25/03/2020,54.15
26/03/2020,54.4
28/03/2020,54.6
30/03/2020,54.63
31/03/2020,54.72
02/04/2020,59.85
04/04/2020,61.99
06/04/2020,62.76
08/04/2020,63.24
10/04/2020,63.58
11/04/2020,63.71
14/04/2020,64.08
15/04/2020,64.22
17/04/2020,65.04
19/04/2020,65.45
21/04/2020,65.63
22/04/2020,65.89
24/04/2020,66.11
27/04/2020,66.56
29/04/2020,66.71
01/05/2020,66.76
02/05/2020,66.69
03/05/2020,66.76
05/05/2020,66.79
07/05/2020,66.79
10/05/2020,66.69
12/05/2020,66.71
13/05/2020,66.95
15/05/2020,66.92
16/05/2020,66.87
18/05/2020,66.91
20/05/2020,66.92
23/05/2020,66.86
24/05/2020,66.79
26/05/2020,66.56
28/05/2020,66.5
29/05/2020,66.41
01/06/2020,66.14
03/06/2020,66.15
04/06/2020,65.98
06/06/2020,65.71
08/06/2020,65.61
09/06/2020,65.33
11/06/2020,65.5
14/06/2020,65.19
15/06/2020,65.05
17/06/2020,64.67
19/06/2020,64.56
21/06/2020,64.2
22/06/2020,64.18
25/06/2020,63.72
26/06/2020,63.61
28/06/2020,63.34
30/06/2020,63.0
02/07/2020,62.79
04/07/2020,62.44
05/07/2020,62.2
07/07/2020,62.01
08/07/2020,61.85
11/07/2020,61.39
13/07/2020,60.96
14/07/2020,60.94
17/07/2020,60.51
18/07/2020,60.33
20/07/2020,59.86
21/07/2020,59.85
24/07/2020,59.36
26/07/2020,59.0
27/07/2020,58.78
29/07/2020,58.41
31/07/2020,58.09
02/08/2020,57.78
03/08/2020,57.68
05/08/2020,57.22
08/08/2020,56.69
09/08/2020,56.49
10/08/2020,56.31
12/08/2020,56.02
15/08/2020,55.55
17/08/2020,55.11
19/08/2020,54.79
20/08/2020,54.6
21/08/2020,54.46
24/08/2020,53.96
26/08/2020,53.58
28/08/2020,53.28
30/08/2020,52.88
31/08/2020,52.75
02/09/2020,52.36
04/09/2020,52.08
05/09/2020,51.89
07/09/2020,51.62
10/09/2020,51.18
11/09/2020,51.02
13/09/2020,50.62
14/09/2020,50.51
17/09/2020,50.04
18/09/2020,49.93
21/09/2020,49.67
22/09/2020,49.47
24/09/2020,49.29
25/09/2020,49.15
27/09/2020,48.78
29/09/2020,48.56
02/10/2020,48.02
03/10/2020,47.94
04/10/2020,47.78
06/10/2020,47.51
09/10/2020,47.15
11/10/2020,46.97
13/10/2020,46.67
14/10/2020,46.56
15/10/2020,46.39
17/10/2020,46.11
20/10/2020,45.77
22/10/2020,45.63
23/10/2020,45.73
25/10/2020,45.58
27/10/2020,45.31
28/10/2020,45.41
30/10/2020,45.21
01/11/2020,44.86
03/11/2020,44.72
05/11/2020,44.56
06/11/2020,44.51
08/11/2020,44.47
11/11/2020,44.27
12/11/2020,44.35
15/11/2020,44.21
16/11/2020,44.13
18/11/2020,43.85
20/11/2020,43.71
22/11/2020,43.57
23/11/2020,43.62
26/11/2020,43.57
27/11/2020,43.5
28/11/2020,43.63
01/12/2020,43.59
03/12/2020,43.65
04/12/2020,43.57
07/12/2020,43.48
08/12/2020,43.27
10/12/2020,43.42
11/12/2020,43.67
13/12/2020,44.65
15/12/2020,44.65
17/12/2020,44.8
19/12/2020,44.74
21/12/2020,44.83
22/12/2020,44.78
25/12/2020,44.71
27/12/2020,44.61
29/12/2020,44.51
30/12/2020,44.47
