Fecha,Reserva
01/01/2013,9.71
02/01/2013,9.71
03/01/2013,9.71
05/01/2013,9.69
08/01/2013,9.66
09/01/2013,9.64
11/01/2013,9.62
13/01/2013,9.61
15/01/2013,9.64
16/01/2013,9.63
19/01/2013,10.77
20/01/2013,11.66
22/01/2013,11.1
23/01/2013,10.34
25/01/2013,10.76
28/01/2013,10.06
29/01/2013,10.0
31/01/2013,9.89
02/02/2013,10.04
03/02/2013,10.13
05/02/2013,10.24
07/02/2013,10.35
10/02/2013,10.44
12/02/2013,10.53
13/02/2013,10.54
15/02/2013,10.58
17/02/2013,10.59
19/02/2013,10.62
21/02/2013,10.54
23/02/2013,11.25
24/02/2013,10.89
26/02/2013,10.09
27/02/2013,9.99
01/03/2013,9.92
03/03/2013,9.78
05/03/2013,9.59
07/03/2013,9.1
08/03/2013,9.45
10/03/2013,9.29
13/03/2013,9.68
14/03/2013,9.34
16/03/2013,9.44
17/03/2013,9.33
20/03/2013,11.02
21/03/2013,10.14
24/03/2013,10.09
26/03/2013,9.53
27/03/2013,9.65
28/03/2013,9.79
30/03/2013,9.74
02/04/2013,10.08
04/04/2013,10.01
06/04/2013,8.56
07/04/2013,9.02
08/04/2013,9.02
11/04/2013,10.07
12/04/2013,10.04
15/04/2013,11.07
17/04/2013,11.66
18/04/2013,11.93
19/04/2013,11.85
21/04/2013,11.62
24/04/2013,11.21
25/04/2013,11.07
28/04/2013,11.01
29/04/2013,11.15
30/04/2013,10.53
03/05/2013,10.35
05/05/2013,10.5
07/05/2013,10.55
08/05/2013,10.65
10/05/2013,10.71
11/05/2013,10.74
14/05/2013,10.77
16/05/2013,10.89
18/05/2013,11.0
19/05/2013,10.77
21/05/2013,10.77
23/05/2013,10.75
25/05/2013,10.67
27/05/2013,10.58
29/05/2013,10.68
30/05/2013,10.72
01/06/2013,10.79
03/06/2013,10.83
05/06/2013,10.87
06/06/2013,10.88
08/06/2013,10.88
10/06/2013,10.89
12/06/2013,10.89
14/06/2013,10.85
15/06/2013,10.82
18/06/2013,10.75
19/06/2013,10.72
21/06/2013,10.67
23/06/2013,10.59
24/06/2013,10.55
26/06/2013,10.66
28/06/2013,10.75
01/07/2013,10.87
02/07/2013,10.9
04/07/2013,10.98
05/07/2013,11.01
08/07/2013,11.07
09/07/2013,11.09
11/07/2013,11.11
13/07/2013,11.14
15/07/2013,11.16
16/07/2013,11.17
18/07/2013,11.17
20/07/2013,11.17
22/07/2013,11.17
24/07/2013,11.17
26/07/2013,11.16
28/07/2013,11.14
29/07/2013,11.12
31/07/2013,11.1
02/08/2013,11.08
04/08/2013,11.05
06/08/2013,11.0
08/08/2013,10.94
10/08/2013,10.9
11/08/2013,10.87
13/08/2013,10.8
15/08/2013,10.79
17/08/2013,10.77
19/08/2013,10.75
20/08/2013,10.74
23/08/2013,10.69
24/08/2013,10.68
25/08/2013,10.66
28/08/2013,10.62
30/08/2013,10.62
01/09/2013,10.42
02/09/2013,10.33
04/09/2013,10.11
06/09/2013,9.9
08/09/2013,9.68
10/09/2013,9.48
12/09/2013,9.46
13/09/2013,9.46
15/09/2013,9.44
17/09/2013,9.41
19/09/2013,9.39
20/09/2013,9.38
22/09/2013,9.34
24/09/2013,9.3
25/09/2013,9.29
27/09/2013,9.25
29/09/2013,9.22
02/10/2013,9.23
04/10/2013,9.21
05/10/2013,9.19
06/10/2013,9.18
08/10/2013,9.14
11/10/2013,9.09
12/10/2013,9.09
14/10/2013,9.1
16/10/2013,9.12
17/10/2013,9.13
19/10/2013,9.14
22/10/2013,9.15
24/10/2013,9.2
25/10/2013,9.21
27/10/2013,9.23
28/10/2013,9.23
30/10/2013,9.25
01/11/2013,9.26
03/11/2013,9.26
05/11/2013,9.26
07/11/2013,9.28
08/11/2013,9.28
10/11/2013,9.28
13/11/2013,9.28
14/11/2013,9.29
16/11/2013,9.29
17/11/2013,9.29
20/11/2013,9.31
22/11/2013,9.31
24/11/2013,9.33
25/11/2013,9.33
27/11/2013,9.33
28/11/2013,9.34
30/11/2013,9.33
02/12/2013,9.34
04/12/2013,9.34
06/12/2013,9.35
08/12/2013,9.34
09/12/2013,9.34
12/12/2013,9.34
13/12/2013,9.35
15/12/2013,9.35
17/12/2013,9.34
19/12/2013,9.35
20/12/2013,9.41
23/12/2013,9.42
25/12/2013,9.33
26/12/2013,8.98
28/12/2013,8.81
30/12/2013,8.76
