Fecha,Reserva
2012-01-01,172.97
2012-01-02,172.99
2012-01-03,173.03
2012-01-04,173.06
2012-01-05,173.06
2012-01-06,173.08
2012-01-07,173.68
2012-01-08,173.58
2012-01-09,173.47
2012-01-10,173.48
2012-01-11,173.49
2012-01-12,173.5
2012-01-13,173.51
2012-01-14,173.5
2012-01-15,173.5
2012-01-16,173.51
2012-01-17,173.6
2012-01-18,173.68
2012-01-19,173.7
2012-01-20,173.73
2012-01-21,173.75
2012-01-22,173.77
2012-01-23,173.77
2012-01-24,173.77
2012-01-25,173.8
2012-01-26,173.82
2012-01-27,173.82
2012-01-28,173.85
2012-01-29,173.83
2012-01-30,173.82
2012-01-31,173.86
2012-02-01,173.86
2012-02-02,173.87
2012-02-03,173.84
2012-02-04,173.82
2012-02-05,173.82
2012-02-06,173.83
2012-02-07,173.85
2012-02-08,173.87
2012-02-09,173.86
2012-02-10,173.84
2012-02-11,173.84
2012-02-12,173.81
2012-02-13,173.8
2012-02-14,173.79
2012-02-15,173.78
2012-02-16,173.8
2012-02-17,173.81
2012-02-18,173.79
2012-02-19,173.78
2012-02-20,173.78
2012-02-21,173.78
2012-02-22,173.79
2012-02-23,173.78
2012-02-24,173.77
2012-02-25,173.78
2012-02-26,173.78
2012-02-27,173.79
2012-02-28,173.8
2012-02-29,173.8
2012-03-01,173.8
2012-03-02,173.78
2012-03-03,173.8
2012-03-04,173.8
2012-03-05,173.83
2012-03-06,173.82
2012-03-07,173.8
2012-03-08,173.81
2012-03-09,173.78
2012-03-10,173.79
2012-03-11,173.8
2012-03-12,173.79
2012-03-13,173.79
2012-03-14,173.77
2012-03-15,173.77
2012-03-16,173.79
2012-03-17,173.8
2012-03-18,173.79
2012-03-19,173.78
2012-03-20,173.8
2012-03-21,173.81
2012-03-22,173.76
2012-03-23,173.72
2012-03-24,173.81
2012-03-25,173.81
2012-03-26,173.81
2012-03-27,173.77
2012-03-28,173.77
2012-03-29,173.73
2012-03-30,173.74
2012-03-31,173.74
2012-04-01,173.73
2012-04-02,173.72
2012-04-03,173.72
2012-04-04,173.76
2012-04-05,173.81
2012-04-06,173.81
2012-04-07,173.81
2012-04-08,173.81
2012-04-09,173.81
2012-04-10,173.78
2012-04-11,173.78
2012-04-12,173.76
2012-04-13,173.76
2012-04-14,173.74
2012-04-15,173.81
2012-04-16,173.84
2012-04-17,173.84
2012-04-18,173.87
2012-04-19,173.85
2012-04-20,173.83
2012-04-21,172.6
2012-04-22,171.89
2012-04-23,170.8
2012-04-24,170.8
2012-04-25,169.7
2012-04-26,168.98
2012-04-27,168.25
2012-04-28,167.62
2012-04-29,166.98
2012-04-30,166.33
2012-05-01,166.04
2012-05-02,165.75
2012-05-03,165.44
2012-05-04,165.42
2012-05-05,165.42
2012-05-06,165.41
2012-05-07,166.46
2012-05-08,167.5
2012-05-09,167.67
2012-05-10,167.03
2012-05-11,166.39
2012-05-12,165.71
2012-05-13,165.03
2012-05-14,164.31
2012-05-15,163.59
2012-05-16,162.77
2012-05-17,162.02
2012-05-18,161.28
2012-05-19,160.22
2012-05-20,160.22
2012-05-21,159.16
2012-05-22,158.41
2012-05-23,157.63
2012-05-24,156.85
2012-05-25,156.14
2012-05-26,155.43
2012-05-27,154.59
2012-05-28,153.75
2012-05-29,153.05
2012-05-30,152.34
2012-05-31,151.59
2012-06-01,150.44
2012-06-02,150.44
2012-06-03,149.29
2012-06-04,148.5
2012-06-05,147.72
2012-06-06,146.93
2012-06-07,146.15
2012-06-08,144.94
2012-06-09,144.94
2012-06-10,143.72
2012-06-11,142.91
2012-06-12,142.1
2012-06-13,141.15
2012-06-14,140.32
2012-06-15,139.49
2012-06-16,139.49
2012-06-17,139.49
2012-06-18,139.49
2012-06-19,137.43
2012-06-20,135.37
2012-06-21,134.54
2012-06-22,133.7
2012-06-23,132.56
2012-06-24,132.56
2012-06-25,131.42
2012-06-26,130.33
2012-06-27,129.54
2012-06-28,128.75
2012-06-29,128.07
2012-06-30,126.84
2012-07-01,126.84
2012-07-02,125.61
2012-07-03,124.8
2012-07-04,123.98
2012-07-05,123.0
2012-07-06,122.24
2012-07-07,121.49
