Fecha,Reserva
01/01/2016,125.18
02/01/2016,125.24
04/01/2016,125.37
05/01/2016,125.71
07/01/2016,125.99
10/01/2016,126.37
12/01/2016,127.02
13/01/2016,127.21
15/01/2016,127.48
17/01/2016,127.57
18/01/2016,127.63
20/01/2016,127.73
22/01/2016,127.81
24/01/2016,127.87
26/01/2016,127.92
27/01/2016,127.7
30/01/2016,126.9
01/02/2016,126.11
02/02/2016,125.95
04/02/2016,125.6
05/02/2016,125.71
07/02/2016,125.15
10/02/2016,124.66
12/02/2016,124.64
13/02/2016,125.18
15/02/2016,131.4
16/02/2016,132.31
18/02/2016,132.99
20/02/2016,133.35
23/02/2016,133.62
25/02/2016,133.77
26/02/2016,133.82
27/02/2016,134.03
29/02/2016,134.59
02/03/2016,134.86
04/03/2016,135.05
07/03/2016,135.21
08/03/2016,135.32
09/03/2016,135.12
12/03/2016,134.27
13/03/2016,133.96
16/03/2016,133.07
18/03/2016,132.44
19/03/2016,132.14
21/03/2016,131.64
22/03/2016,131.64
24/03/2016,131.84
27/03/2016,131.93
28/03/2016,131.96
30/03/2016,131.98
31/03/2016,131.73
03/04/2016,130.71
04/04/2016,130.38
06/04/2016,132.93
09/04/2016,133.86
10/04/2016,133.99
12/04/2016,134.29
13/04/2016,134.52
16/04/2016,135.36
17/04/2016,135.67
20/04/2016,137.2
21/04/2016,139.04
22/04/2016,140.61
24/04/2016,141.95
26/04/2016,142.3
28/04/2016,141.66
01/05/2016,139.92
02/05/2016,139.23
04/05/2016,137.82
06/05/2016,136.71
08/05/2016,137.29
10/05/2016,138.47
11/05/2016,140.22
13/05/2016,146.63
14/05/2016,149.24
16/05/2016,151.62
18/05/2016,152.64
20/05/2016,153.17
23/05/2016,153.57
24/05/2016,153.15
26/05/2016,151.83
28/05/2016,150.45
29/05/2016,149.82
31/05/2016,148.43
02/06/2016,147.03
04/06/2016,145.59
06/06/2016,144.12
08/06/2016,142.64
09/06/2016,141.89
11/06/2016,140.37
13/06/2016,138.84
15/06/2016,137.25
16/06/2016,136.42
18/06/2016,134.82
20/06/2016,133.2
22/06/2016,131.67
24/06/2016,130.13
26/06/2016,128.56
27/06/2016,127.76
30/06/2016,125.42
01/07/2016,124.63
04/07/2016,122.15
06/07/2016,120.51
07/07/2016,119.75
08/07/2016,119.02
11/07/2016,116.58
12/07/2016,115.78
15/07/2016,113.19
16/07/2016,112.45
18/07/2016,110.82
20/07/2016,109.25
21/07/2016,108.46
23/07/2016,107.23
25/07/2016,106.33
27/07/2016,104.69
29/07/2016,103.13
31/07/2016,101.57
02/08/2016,99.96
03/08/2016,99.19
05/08/2016,98.24
08/08/2016,97.02
09/08/2016,96.78
11/08/2016,96.72
13/08/2016,96.61
15/08/2016,96.55
16/08/2016,96.49
19/08/2016,96.44
20/08/2016,96.38
22/08/2016,96.36
24/08/2016,96.28
26/08/2016,96.22
27/08/2016,96.15
29/08/2016,96.09
31/08/2016,96.01
02/09/2016,95.94
03/09/2016,95.92
06/09/2016,95.83
07/09/2016,95.81
10/09/2016,95.68
11/09/2016,95.65
12/09/2016,93.84
14/09/2016,95.61
17/09/2016,95.48
19/09/2016,95.47
20/09/2016,95.4
22/09/2016,95.34
23/09/2016,95.32
26/09/2016,95.24
27/09/2016,95.24
29/09/2016,95.17
01/10/2016,95.1
03/10/2016,95.05
04/10/2016,95.04
07/10/2016,94.98
08/10/2016,94.95
11/10/2016,94.88
12/10/2016,94.87
14/10/2016,95.08
16/10/2016,95.04
17/10/2016,95.06
20/10/2016,95.01
22/10/2016,94.3
23/10/2016,93.99
25/10/2016,94.14
27/10/2016,94.12
29/10/2016,94.12
31/10/2016,94.08
02/11/2016,94.06
04/11/2016,93.38
05/11/2016,93.21
06/11/2016,93.5
08/11/2016,93.48
10/11/2016,93.52
13/11/2016,93.53
14/11/2016,93.53
16/11/2016,93.51
18/11/2016,93.49
20/11/2016,93.49
21/11/2016,93.77
23/11/2016,98.28
26/11/2016,99.66
27/11/2016,101.73
28/11/2016,103.7
30/11/2016,105.27
03/12/2016,106.42
04/12/2016,106.98
06/12/2016,108.59
08/12/2016,109.43
10/12/2016,109.94
12/12/2016,110.29
14/12/2016,110.55
16/12/2016,110.97
18/12/2016,111.63
19/12/2016,111.86
20/12/2016,112.08
22/12/2016,112.39
25/12/2016,112.74
26/12/2016,112.83
29/12/2016,113.06
30/12/2016,113.12
