Fecha,Reserva
01/01/2016,179.04
02/01/2016,179.04
03/01/2016,179.04
05/01/2016,180.15
07/01/2016,180.28
10/01/2016,180.28
11/01/2016,180.28
13/01/2016,180.74
15/01/2016,180.81
16/01/2016,180.81
19/01/2016,180.81
20/01/2016,180.87
23/01/2016,180.87
24/01/2016,180.94
25/01/2016,180.94
28/01/2016,180.94
30/01/2016,181.0
31/01/2016,181.0
02/02/2016,181.0
04/02/2016,181.0
05/02/2016,181.0
07/02/2016,181.0
10/02/2016,181.0
12/02/2016,181.46
13/02/2016,181.72
15/02/2016,182.71
17/02/2016,182.91
18/02/2016,182.91
20/02/2016,183.04
22/02/2016,183.04
25/02/2016,183.18
26/02/2016,183.18
27/02/2016,183.51
29/02/2016,183.64
02/03/2016,183.64
04/03/2016,183.64
07/03/2016,183.64
08/03/2016,183.7
09/03/2016,183.7
11/03/2016,183.7
14/03/2016,183.7
16/03/2016,183.77
17/03/2016,183.77
19/03/2016,183.77
21/03/2016,183.84
22/03/2016,183.7
25/03/2016,183.11
27/03/2016,182.65
28/03/2016,183.31
30/03/2016,181.99
31/03/2016,181.72
03/04/2016,180.94
05/04/2016,181.79
07/04/2016,181.53
08/04/2016,181.26
10/04/2016,180.81
12/04/2016,180.48
14/04/2016,180.28
16/04/2016,179.82
18/04/2016,179.43
20/04/2016,169.04
21/04/2016,178.98
23/04/2016,168.52
24/04/2016,178.26
26/04/2016,177.81
28/04/2016,177.29
30/04/2016,176.84
02/05/2016,176.32
04/05/2016,175.67
06/05/2016,175.16
08/05/2016,174.71
10/05/2016,174.52
11/05/2016,173.39
13/05/2016,174.78
15/05/2016,174.58
16/05/2016,174.39
19/05/2016,173.69
20/05/2016,173.49
22/05/2016,173.24
24/05/2016,173.05
26/05/2016,172.86
28/05/2016,173.37
30/05/2016,173.18
31/05/2016,172.54
02/06/2016,172.16
04/06/2016,171.9
06/06/2016,171.65
08/06/2016,171.52
09/06/2016,171.4
11/06/2016,171.4
14/06/2016,171.08
15/06/2016,171.01
16/06/2016,170.89
19/06/2016,170.63
21/06/2016,170.18
22/06/2016,170.19
24/06/2016,169.81
26/06/2016,169.44
28/06/2016,169.06
29/06/2016,168.93
02/07/2016,168.56
04/07/2016,168.31
05/07/2016,168.18
07/07/2016,167.81
09/07/2016,167.43
11/07/2016,167.06
12/07/2016,167.06
14/07/2016,166.25
16/07/2016,165.68
18/07/2016,165.07
20/07/2016,164.51
21/07/2016,164.39
23/07/2016,164.08
25/07/2016,163.71
28/07/2016,163.28
29/07/2016,163.09
31/07/2016,162.85
02/08/2016,162.48
03/08/2016,162.36
05/08/2016,162.05
08/08/2016,161.5
09/08/2016,161.26
10/08/2016,162.36
12/08/2016,160.71
15/08/2016,159.98
16/08/2016,159.8
19/08/2016,159.07
20/08/2016,158.89
21/08/2016,158.71
24/08/2016,158.04
26/08/2016,159.07
27/08/2016,157.44
30/08/2016,156.72
31/08/2016,156.54
02/09/2016,156.18
03/09/2016,156.06
06/09/2016,155.58
07/09/2016,155.41
09/09/2016,154.87
11/09/2016,154.39
12/09/2016,154.16
14/09/2016,154.04
16/09/2016,153.92
18/09/2016,153.8
20/09/2016,153.68
22/09/2016,153.56
24/09/2016,153.44
26/09/2016,153.33
28/09/2016,153.15
29/09/2016,152.56
02/10/2016,152.21
03/10/2016,152.15
04/10/2016,152.03
07/10/2016,151.79
09/10/2016,151.79
10/10/2016,151.79
12/10/2016,151.32
14/10/2016,151.27
15/10/2016,151.27
17/10/2016,151.03
20/10/2016,150.86
22/10/2016,150.68
23/10/2016,150.68
25/10/2016,150.74
27/10/2016,150.74
28/10/2016,150.74
31/10/2016,150.56
02/11/2016,150.5
04/11/2016,150.5
05/11/2016,150.56
07/11/2016,150.62
09/11/2016,150.62
10/11/2016,150.56
12/11/2016,150.62
14/11/2016,150.62
16/11/2016,150.56
18/11/2016,150.5
20/11/2016,150.5
22/11/2016,150.86
24/11/2016,150.91
25/11/2016,150.91
27/11/2016,151.62
28/11/2016,152.21
30/11/2016,152.38
02/12/2016,152.38
04/12/2016,152.5
06/12/2016,152.62
08/12/2016,152.74
09/12/2016,152.74
11/12/2016,152.74
14/12/2016,152.74
16/12/2016,152.85
17/12/2016,152.91
19/12/2016,152.91
21/12/2016,152.91
22/12/2016,152.97
24/12/2016,152.97
26/12/2016,152.97
28/12/2016,152.97
30/12/2016,152.97
