Fecha,Reserva
2012-01-01,159.77
2012-01-02,159.41
2012-01-03,159.05
2012-01-04,158.46
2012-01-05,158.46
2012-01-06,157.88
2012-01-07,158.06
2012-01-08,158.11
2012-01-09,158.11
2012-01-10,158.15
2012-01-11,158.15
2012-01-12,158.01
2012-01-13,157.88
2012-01-14,157.88
2012-01-15,157.88
2012-01-16,157.88
2012-01-17,157.97
2012-01-18,158.06
2012-01-19,158.06
2012-01-20,158.06
2012-01-21,158.06
2012-01-22,158.06
2012-01-23,158.06
2012-01-24,158.06
2012-01-25,158.11
2012-01-26,158.15
2012-01-27,158.15
2012-01-28,158.15
2012-01-29,158.24
2012-01-30,158.07
2012-01-31,157.9
2012-02-01,157.94
2012-02-02,157.97
2012-02-03,157.93
2012-02-04,157.88
2012-02-05,157.88
2012-02-06,157.88
2012-02-07,157.88
2012-02-08,157.88
2012-02-09,157.88
2012-02-10,157.88
2012-02-11,157.88
2012-02-12,157.88
2012-02-13,157.79
2012-02-14,157.79
2012-02-15,157.79
2012-02-16,157.79
2012-02-17,157.79
2012-02-18,157.88
2012-02-19,157.88
2012-02-20,157.88
2012-02-21,157.88
2012-02-22,157.88
2012-02-23,157.88
2012-02-24,157.88
2012-02-25,157.88
2012-02-26,157.88
2012-02-27,157.88
2012-02-28,157.88
2012-02-29,157.88
2012-03-01,157.88
2012-03-02,157.88
2012-03-03,157.88
2012-03-04,157.88
2012-03-05,157.88
2012-03-06,157.88
2012-03-07,157.88
2012-03-08,157.88
2012-03-09,157.88
2012-03-10,157.88
2012-03-11,157.88
2012-03-12,157.88
2012-03-13,157.88
2012-03-14,157.88
2012-03-15,157.79
2012-03-16,157.88
2012-03-17,157.97
2012-03-18,157.97
2012-03-19,157.97
2012-03-20,157.97
2012-03-21,157.97
2012-03-22,157.97
2012-03-23,157.97
2012-03-24,157.97
2012-03-25,157.97
2012-03-26,157.97
2012-03-27,157.97
2012-03-28,157.97
2012-03-29,157.97
2012-03-30,157.97
2012-03-31,157.97
2012-04-01,158.11
2012-04-02,158.11
2012-04-03,158.24
2012-04-04,158.24
2012-04-05,158.24
2012-04-06,158.29
2012-04-07,158.33
2012-04-08,158.33
2012-04-09,158.33
2012-04-10,158.33
2012-04-11,158.29
2012-04-12,158.24
2012-04-13,158.24
2012-04-14,158.24
2012-04-15,158.24
2012-04-16,158.24
2012-04-17,158.2
2012-04-18,158.15
2012-04-19,158.06
2012-04-20,158.06
2012-04-21,158.06
2012-04-22,158.06
2012-04-23,158.06
2012-04-24,158.06
2012-04-25,158.06
2012-04-26,157.97
2012-04-27,158.06
2012-04-28,158.06
2012-04-29,158.15
2012-04-30,158.15
2012-05-01,158.15
2012-05-02,158.15
2012-05-03,157.88
2012-05-04,157.83
2012-05-05,157.83
2012-05-06,157.79
2012-05-07,157.79
2012-05-08,157.34
2012-05-09,157.34
2012-05-10,156.9
2012-05-11,156.9
2012-05-12,156.94
2012-05-13,156.99
2012-05-14,157.3
2012-05-15,157.62
2012-05-16,157.62
2012-05-17,157.7
2012-05-18,157.79
2012-05-19,157.79
2012-05-20,157.79
2012-05-21,157.83
2012-05-22,157.88
2012-05-23,157.97
2012-05-24,158.06
2012-05-25,157.79
2012-05-26,157.3
2012-05-27,157.3
2012-05-28,156.81
2012-05-29,156.55
2012-05-30,156.06
2012-05-31,156.06
2012-06-01,155.58
2012-06-02,155.58
2012-06-03,155.62
2012-06-04,155.66
2012-06-05,155.66
2012-06-06,155.75
2012-06-07,155.84
2012-06-08,155.8
2012-06-09,155.75
2012-06-10,155.75
2012-06-11,155.75
2012-06-12,155.75
2012-06-13,155.31
2012-06-14,154.96
2012-06-15,154.61
2012-06-16,154.61
2012-06-17,154.61
2012-06-18,154.61
2012-06-19,153.61
2012-06-20,152.6
2012-06-21,152.04
2012-06-22,152.04
2012-06-23,151.47
2012-06-24,151.12
2012-06-25,150.78
2012-06-26,150.35
2012-06-27,150.0
2012-06-28,149.66
2012-06-29,149.24
2012-06-30,148.81
2012-07-01,148.51
2012-07-02,148.21
2012-07-03,147.62
2012-07-04,147.28
2012-07-05,146.94
2012-07-06,146.56
2012-07-07,146.19
2012-07-08,145.77
2012-07-09,145.39
2012-07-10,145.01
2012-07-11,144.68
2012-07-12,144.35
2012-07-13,143.76
2012-07-14,143.76
2012-07-15,143.18
2012-07-16,142.85
2012-07-17,142.48
2012-07-18,142.11
2012-07-19,141.78
2012-07-20,141.21
2012-07-21,141.21
2012-07-22,140.64
2012-07-23,140.31
2012-07-24,139.74
2012-07-25,139.74
2012-07-26,139.17
2012-07-27,138.85
2012-07-28,138.49
2012-07-29,138.12
2012-07-30,137.8
2012-07-31,137.2
2012-08-01,137.2
2012-08-02,136.6
2012-08-03,136.28
2012-08-04,136.24
2012-08-05,136.2
2012-08-06,136.2
2012-08-07,136.2
2012-08-08,136.2
2012-08-09,136.2
2012-08-10,136.24
2012-08-11,136.28
2012-08-12,136.24
2012-08-13,136.2
2012-08-14,136.2
2012-08-15,136.2
2012-08-16,136.28
2012-08-17,136.28
2012-08-18,136.28
2012-08-19,136.36
2012-08-20,136.44
2012-08-21,136.52
2012-08-22,136.6
2012-08-23,136.6
2012-08-24,136.6
2012-08-25,136.56
2012-08-26,136.52
2012-08-27,136.6
2012-08-28,136.6
2012-08-29,136.6
2012-08-30,136.6
2012-08-31,136.6
2012-09-01,136.68
2012-09-02,136.68
2012-09-03,136.68
2012-09-04,136.68
2012-09-05,136.68
2012-09-06,136.68
2012-09-07,136.68
2012-09-08,136.76
2012-09-09,136.76
2012-09-10,136.84
2012-09-11,136.84
2012-09-12,136.88
2012-09-13,136.92
2012-09-14,136.92
2012-09-15,136.92
2012-09-16,136.96
2012-09-17,137.0
2012-09-18,137.16
2012-09-19,137.16
2012-09-20,137.16
2012-09-21,137.16
2012-09-22,137.16
2012-09-23,137.24
2012-09-24,137.32
2012-09-25,137.32
2012-09-26,137.44
2012-09-27,137.44
2012-09-28,137.56
2012-09-29,137.6
2012-09-30,137.64
2012-10-01,137.56
2012-10-02,137.24
2012-10-03,136.92
2012-10-04,136.68
2012-10-05,136.32
2012-10-06,135.96
2012-10-07,135.68
2012-10-08,135.41
2012-10-09,135.1
2012-10-10,134.78
2012-10-11,134.43
2012-10-12,134.07
2012-10-13,133.76
2012-10-14,133.44
2012-10-15,133.05
2012-10-16,132.54
2012-10-17,132.54
2012-10-18,132.03
2012-10-19,132.81
2012-10-20,133.59
2012-10-21,133.32
2012-10-22,133.05
2012-10-23,133.05
2012-10-24,133.05
2012-10-25,133.36
2012-10-26,133.99
2012-10-27,133.6
2012-10-28,133.6
2012-10-29,133.2
2012-10-30,137.64
2012-10-31,135.3
2012-11-01,132.97
2012-11-02,132.89
2012-11-03,132.81
2012-11-04,134.23
2012-11-05,135.65
2012-11-06,135.76
2012-11-07,135.88
2012-11-08,136.2
2012-11-09,138.38
2012-11-10,140.55
2012-11-11,141.54
2012-11-12,142.52
2012-11-13,145.03
2012-11-14,147.54
2012-11-15,147.75
2012-11-16,147.96
2012-11-17,148.21
2012-11-18,149.84
2012-11-19,151.47
2012-11-20,151.73
2012-11-21,151.73
2012-11-22,151.99
2012-11-23,152.04
2012-11-24,152.01
2012-11-25,152.01
2012-11-26,151.99
2012-11-27,151.9
2012-11-28,151.82
2012-11-29,151.69
2012-11-30,151.69
2012-12-01,151.56
2012-12-02,151.38
2012-12-03,151.12
2012-12-04,151.12
2012-12-05,150.87
2012-12-06,150.78
2012-12-07,150.7
2012-12-08,150.7
2012-12-09,150.52
2012-12-10,150.35
2012-12-11,150.35
2012-12-12,150.18
2012-12-13,150.01
2012-12-14,149.84
2012-12-15,149.84
2012-12-16,150.39
2012-12-17,150.95
2012-12-18,151.04
2012-12-19,151.13
2012-12-20,151.13
