Fecha,Reserva
01/01/2018,113.59
02/01/2018,113.66
04/01/2018,113.39
05/01/2018,113.25
07/01/2018,113.39
09/01/2018,113.25
11/01/2018,113.18
12/01/2018,113.04
15/01/2018,113.18
16/01/2018,113.11
18/01/2018,113.04
20/01/2018,113.04
22/01/2018,113.04
23/01/2018,113.04
25/01/2018,112.9
27/01/2018,112.83
29/01/2018,112.83
01/02/2018,112.7
02/02/2018,112.7
03/02/2018,112.7
05/02/2018,112.7
07/02/2018,112.7
10/02/2018,112.7
11/02/2018,112.7
13/02/2018,112.77
14/02/2018,112.77
17/02/2018,112.77
18/02/2018,112.83
20/02/2018,112.83
22/02/2018,112.83
24/02/2018,112.83
26/02/2018,112.83
28/02/2018,113.04
02/03/2018,121.2
03/03/2018,124.06
05/03/2018,131.02
07/03/2018,132.89
09/03/2018,136.36
11/03/2018,152.16
13/03/2018,154.96
14/03/2018,155.49
16/03/2018,164.13
18/03/2018,165.61
19/03/2018,165.42
21/03/2018,163.67
23/03/2018,163.95
26/03/2018,164.69
27/03/2018,164.87
28/03/2018,164.87
30/03/2018,165.24
02/04/2018,165.33
03/04/2018,165.52
06/04/2018,165.7
07/04/2018,165.89
08/04/2018,165.98
11/04/2018,166.54
12/04/2018,167.28
14/04/2018,171.05
16/04/2018,172.57
18/04/2018,173.43
20/04/2018,173.82
22/04/2018,174.01
23/04/2018,174.3
25/04/2018,173.72
27/04/2018,173.63
29/04/2018,173.72
30/04/2018,173.72
02/05/2018,173.91
05/05/2018,173.91
06/05/2018,173.91
08/05/2018,174.01
09/05/2018,174.3
11/05/2018,174.2
14/05/2018,174.2
15/05/2018,174.3
18/05/2018,174.3
19/05/2018,174.4
20/05/2018,174.49
22/05/2018,175.37
25/05/2018,175.46
26/05/2018,175.56
28/05/2018,175.56
30/05/2018,175.56
31/05/2018,175.46
02/06/2018,175.46
05/06/2018,175.37
06/06/2018,175.27
08/06/2018,175.17
10/06/2018,175.17
12/06/2018,175.17
14/06/2018,175.07
16/06/2018,175.07
18/06/2018,175.17
20/06/2018,175.07
21/06/2018,174.78
22/06/2018,174.59
24/06/2018,174.11
26/06/2018,173.53
28/06/2018,173.05
30/06/2018,172.48
02/07/2018,172.19
03/07/2018,171.9
06/07/2018,170.76
07/07/2018,170.48
09/07/2018,170.38
11/07/2018,169.63
13/07/2018,168.87
14/07/2018,168.5
16/07/2018,168.22
18/07/2018,167.56
21/07/2018,167.0
22/07/2018,166.91
23/07/2018,166.91
25/07/2018,166.54
28/07/2018,165.89
30/07/2018,165.79
01/08/2018,165.42
02/08/2018,165.15
04/08/2018,164.78
06/08/2018,164.69
08/08/2018,164.32
09/08/2018,164.04
11/08/2018,163.58
13/08/2018,163.49
15/08/2018,163.12
16/08/2018,163.03
18/08/2018,162.67
21/08/2018,162.48
23/08/2018,162.03
24/08/2018,161.67
25/08/2018,161.3
27/08/2018,161.21
29/08/2018,160.76
01/09/2018,160.22
02/09/2018,160.22
04/09/2018,159.95
05/09/2018,159.67
08/09/2018,159.05
10/09/2018,159.14
11/09/2018,158.96
13/09/2018,158.51
15/09/2018,158.24
17/09/2018,158.24
18/09/2018,158.15
20/09/2018,157.7
22/09/2018,157.35
24/09/2018,157.35
25/09/2018,157.08
28/09/2018,156.55
29/09/2018,156.37
02/10/2018,156.55
04/10/2018,156.19
05/10/2018,156.02
06/10/2018,155.84
08/10/2018,155.75
10/10/2018,155.31
12/10/2018,155.22
14/10/2018,155.31
16/10/2018,155.22
17/10/2018,155.05
19/10/2018,155.56
22/10/2018,155.66
24/10/2018,155.31
25/10/2018,155.13
27/10/2018,154.87
29/10/2018,154.7
31/10/2018,153.99
02/11/2018,153.82
03/11/2018,153.47
05/11/2018,153.73
07/11/2018,153.21
09/11/2018,152.6
10/11/2018,152.51
13/11/2018,152.68
14/11/2018,152.6
16/11/2018,152.08
18/11/2018,151.9
19/11/2018,152.51
21/11/2018,152.34
24/11/2018,151.73
26/11/2018,152.25
27/11/2018,152.42
28/11/2018,152.42
01/12/2018,151.82
03/12/2018,151.9
05/12/2018,151.38
07/12/2018,151.13
08/12/2018,150.78
10/12/2018,150.87
11/12/2018,150.61
14/12/2018,149.66
15/12/2018,149.32
17/12/2018,149.41
19/12/2018,148.9
20/12/2018,148.55
22/12/2018,147.96
25/12/2018,148.04
26/12/2018,148.04
28/12/2018,147.45
30/12/2018,147.37
